Name,Club,Games,Games Started,Minutes,Crosses,Corner Kicks,Penalty Kick Goals
Holebas  Jose ,WAT,23,22,1272,183,97,0
Lerma  Jefferson ,BOU,20,19,1129,6,0,0
Shaw  Luke ,MUN,20,20,1062,59,9,0
Milivojevic  Luka ,CRY,26,26,1530,159,85,6
Schar  Fabian ,NEW,14,12,1071,8,0,0
Snodgrass  Robert ,WHU,25,18,1196,126,70,0
Bardsley  Phil ,BUR,13,13,952,31,0,0
Arter  Harry ,CC,21,20,1001,18,2,0
Xhaka  Granit ,ARS,22,22,1139,92,71,0
Ritchie  Matt ,NEW,24,23,1289,175,62,1
Hojbjerg  Pierre ,SOU,19,19,1067,24,3,0
Zaha  Wilfried ,CRY,22,22,1254,63,2,0
Capoue  Etienne ,WAT,22,22,1170,11,0,0
Sokratis ,ARS,16,16,900,2,0,0
Bennett  Ryan ,WLV,25,25,1440,3,0,0
Bamba  Sol,CC,25,25,1530,1,0,0
Jorgensen  Mathias ,HUD,22,22,1260,7,0,0
Mustafi  Shkodran ,ARS,22,22,995,8,0,0
Ndidi  Wilfred ,LEI,26,25,1498,13,1,0
Matic  Nemanja ,MUN,23,23,1527,12,0,0
Young  Ashley ,MUN,19,18,1207,170,66,0
Romeu  Oriol ,SOU,19,15,1029,6,0,0
Jota  Diogo ,WLV,21,17,704,28,0,0
Neves  Ruben ,WLV,24,23,1236,32,2,2
Seri  Michael ,FUL,26,24,1283,109,81,0
Mitrovic  Aleksandar ,FUL,26,26,1481,4,0,0
Mee  Ben ,BUR,26,26,1530,6,0,0
Barnes  Ashley ,BUR,25,14,1122,13,5,2
Cork  Jack ,BUR,25,25,1423,17,1,0
Lowton  Matthew ,BUR,15,13,578,51,0,0
Tarkowski  James ,BUR,23,23,1260,4,0,0
Billing  Philip ,HUD,22,22,1120,61,2,0
Schindler  Christopher ,HUD,26,26,1480,0,0,0
Dunk  Lewis ,BHA,24,24,1422,2,0,0
Chambers  Calum ,FUL,19,17,1170,8,1,0
Alonso  Marcos ,CHE,25,25,1411,93,0,0
Gueye  Idrissa ,EVE,22,21,1154,15,5,0
Maguire  Harry ,LEI,21,21,975,2,0,0
Fernandinho ,MCI,25,25,1379,20,1,0
Yedlin  DeAndre ,NEW,24,23,1315,71,0,0
Bednarek  Jan ,SOU,13,12,990,1,0,0
Bertrand  Ryan ,SOU,13,13,360,52,15,0
Lemina  Mario ,SOU,18,17,693,16,0,0
Noble  Mark ,WHU,21,19,956,18,3,1
Saiss  Romain ,WLV,13,8,760,8,0,0
McArthur  James ,CRY,26,26,1386,14,6,0
Tomkins  James ,CRY,22,22,1320,2,0,0
Mendy  Nampalys ,LEI,23,23,1269,5,0,0
Pereira  Ricardo ,LEI,23,23,1350,93,0,0
Torreira  Lucas ,ARS,26,18,1325,25,16,0
Jorginho,CHE ,25,25,1357,16,1,0
Coady  Conor,WLV ,26,26,1530,1,3,0
Camarasa  Victor, CC ,23,22,1205,106,53,1
Castro  Jonny,WLV ,22,22,1148,30,0,0
Gomes  Andre,EVE ,19,19,1435,13,0,0
Bernard,EVE ,23,15,1047,49,3,0
Westwood  Ashley,BUR ,23,20,1187,63,20,0
Hogg  Jonathan,HUD ,19,19,1161,18,0,0
Duffy  Shane,BHA ,23,23,1198,2,0,0
Kayal  Beram,BHA ,12,7,368,9,2,0
Stephens  Dale,BHA ,19,18,946,8,2,0
Gosling  Dan,BOU ,18,12,669,5,1,0
Christie  Cyrus,FUL ,20,15,1139,86,0,0
Johansen  Stefan,FUL ,12,4,127,12,5,0
Odoi  Denis,FUL ,24,23,1530,8,1,0
Rudiger  Antonio,CHE ,25,25,1440,4,0,0
Aguero  Sergio,MCI ,23,21,1031,21,0,1
Kompany  Vincent,MCI ,9,6,284,1,0,0
Soares  Cedric,SOU ,18,16,718,70,0,0
Kane  Harry,TOT ,22,21,1083,19,0,1
Rose  Danny,TOT ,15,12,648,57,7,0
Winks  Harry,TOT ,23,15,1115,12,1,0
Zabaleta  Pablo,WHU ,19,18,1069,46,0,0
Wan-Bissaka  Aaron,CRY ,25,25,1530,50,0,0
Guendouzi  Matteo,ARS ,23,17,1164,17,1,0
Junior Hoilett, CC ,21,15,907,56,13,0
Zouma  Kurt,EVE ,23,20,1260,2,0,0
Brady  Robbie,BUR ,10,5,545,45,12,0
Paterson  Callum, CC ,23,20,1422,24,0,0
Kongolo  Terence ,HUD ,22,22,1271,21,0,0
Knockaert  Anthony ,BHA ,21,12,523,62,22,0
Murray  Glenn ,BHA ,26,21,1030,10,0,1
Smith  Adam ,BOU ,17,17,660,18,5,0
Wilson  Callum ,BOU ,21,20,944,25,2,1
Bellerin  Hector ,ARS ,19,18,723,56,0,0
Kolasinac  Sead ,ARS ,15,15,1294,55,4,0
Kante  N'Golo ,CHE ,26,26,1510,27,0,0
Morata  Alvaro ,CHE ,16,11,501,8,0,0
Calvert-Lewin  Dominic,EVE ,25,9,573,11,0,0
Davies  Tom ,EVE ,13,10,469,6,1,0
Sigurdsson  Gylfi ,EVE ,27,25,1426,145,66,2
Tosun  Cenk ,EVE ,20,9,425,3,0,0
Albrighton  Marc ,LEI ,22,14,1051,107,12,0
Chilwell  Ben ,LEI ,25,25,1440,126,3,0
Morgan  Wes ,LEI ,17,17,990,0,0,0
Alexander-Arnold  Trent,LIV ,18,16,890,132,24,0
Matip  Joel,LIV ,12,7,540,0,0,0
Milner  James,LIV ,21,16,748,116,68,0
Laporte  Aymeric,MCI ,27,26,1527,10,0,0
Silva  Bernardo,MCI ,26,23,1383,74,19,0
