Name,Fouls Suffered,Fouls Committed,Yellow Cards,Red Cards,Offsides
Holebas  Jose ,5,20,10,0,2
Lerma  Jefferson ,16,24,9,0,3
Shaw  Luke ,7,17,8,0,1
Milivojevic  Luka ,14,22,8,0,0
Schar  Fabian ,9,17,8,0,1
Snodgrass  Robert ,24,20,8,0,3
Bardsley  Phil ,5,10,7,0,0
Arter  Harry ,12,11,7,0,2
Xhaka  Granit ,23,16,7,0,1
Ritchie  Matt ,15,24,7,0,1
Hojbjerg  Pierre ,21,14,7,1,0
Zaha  Wilfried ,43,23,7,0,12
Capoue  Etienne ,22,22,7,1,0
Sokratis ,7,19,7,0,0
Bennett  Ryan ,3,13,7,0,1
Bamba  Sol,9,21,6,0,2
Jorgensen  Mathias ,7,20,6,0,0
Mustafi  Shkodran ,3,17,6,0,4
Ndidi  Wilfred ,13,15,6,0,2
Matic  Nemanja ,12,18,6,0,1
Young  Ashley ,14,15,6,0,3
Romeu  Oriol ,8,21,6,0,0
Jota  Diogo ,14,8,6,0,2
Neves  Ruben ,9,13,6,0,0
Seri  Michael ,11,22,6,0,1
Mitrovic  Aleksandar ,26,27,6,0,27
Mee  Ben ,8,17,6,0,0
Barnes  Ashley ,34,23,5,0,10
Cork  Jack ,23,12,5,0,4
Lowton  Matthew ,4,7,5,0,0
Tarkowski  James ,12,12,5,0,5
Billing  Philip ,16,18,5,0,2
Schindler  Christopher ,11,14,5,0,0
Dunk  Lewis ,7,15,5,0,0
Chambers  Calum ,3,15,5,0,0
Alonso  Marcos ,17,14,5,0,2
Gueye  Idrissa ,15,23,5,0,0
Maguire  Harry ,6,8,5,0,3
Fernandinho ,21,24,5,0,2
Yedlin  DeAndre ,7,22,5,1,4
Bednarek  Jan ,4,9,5,0,0
Bertrand  Ryan ,4,5,5,0,0
Lemina  Mario ,17,13,5,0,1
Noble  Mark ,13,10,5,1,1
Saiss  Romain ,7,17,5,0,0
McArthur  James ,14,28,5,0,1
Tomkins  James ,3,8,5,0,1
Mendy  Nampalys ,18,14,5,0,0
Pereira  Ricardo ,28,19,5,0,1
Torreira  Lucas ,38,16,5,0,0
Jorginho,17,18,5,0,0
Coady  Conor,7,3,5,0,0
Camarasa  Victor,17,13,5,0,1
Castro  Jonny,15,10,5,0,4
Gomes  Andre,20,31,5,0,0
Bernard,15,10,5,0,2
Westwood  Ashley,8,12,4,0,0
Hogg  Jonathan,20,22,4,1,0
Duffy  Shane,5,7,4,1,4
Kayal  Beram,4,8,4,0,0
Stephens  Dale,6,21,4,1,0
Gosling  Dan,15,7,4,0,2
Christie  Cyrus,8,20,4,0,2
Johansen  Stefan,1,2,4,0,0
Odoi  Denis,16,20,4,0,0
Rudiger  Antonio,10,15,4,0,1
Aguero  Sergio,14,13,4,0,18
Kompany  Vincent,1,5,4,0,1
Soares  Cedric,2,5,4,0,1
Kane  Harry,23,15,4,0,7
Rose  Danny,14,9,4,0,1
Winks  Harry,8,8,4,0,2
Zabaleta  Pablo,15,8,4,0,1
Wan-Bissaka  Aaron,7,14,4,1,1
Guendouzi  Matteo,34,11,4,0,0
Junior Hoilett,20,17,4,0,7
Zouma  Kurt,7,10,4,0,2
Brady  Robbie,4,10,3,1,0
Paterson  Callum,21,30,3,0,10
Kongolo  Terence ,11,11,3,0,2
Knockaert  Anthony ,8,7,3,0,1
Murray  Glenn ,22,33,3,0,23
Smith  Adam ,9,4,3,1,0
Wilson  Callum ,11,15,3,0,15
Bellerin  Hector ,2,7,3,0,1
Kolasinac  Sead ,6,13,3,0,6
Kante  N'Golo ,9,20,3,0,4
Morata  Alvaro ,8,11,3,0,19
Calvert-Lewin  Dominic,7,13,3,0,3
Davies  Tom ,11,9,3,0,1
Sigurdsson  Gylfi ,16,14,3,0,3
Tosun  Cenk ,6,6,3,0,7
Albrighton  Marc ,13,8,3,0,2
Chilwell  Ben ,21,14,3,0,1
Morgan  Wes ,2,7,3,0,3
Alexander-Arnold  Trent,2,5,3,0,3
Matip  Joel,4,7,3,0,0
Milner  James,10,10,3,0,0
Laporte  Aymeric,7,13,3,0,2
Silva  Bernardo,8,19,3,0,2
Herrera  Ander,12,15,3,0,0
Pogba  Paul,26,16,3,0,2
Rashford  Marcus,28,19,3,1,6
Diame  Mohamed ,10,16,3,0,0
Lascelles  Jamaal,3,7,3,0,0
Stephens  Jack,3,7,3,0,0
Valery  Yann,4,14,3,0,1
Dier  Eric ,0,9,3,0,0
Arnautovic  Marko ,2,10,3,0,11
Costa  Helder ,9,11,3,0,5
Fosu-Mensah  Timothy ,0,3,3,0,0
van Aanholt  Patrick ,4,6,3,0,5
Deeney  Troy ,12,21,3,0,9
Doucoure  Abdoulaye ,12,14,3,0,1
Hughes  Will ,17,8,3,0,0
Richarlison ,41,15,3,1,16
Success  Isaac ,34,13,3,0,11
Maddison  James ,18,7,3,0,2
Cunningham  Gregory,11,5,3,0,0
Diop  Issa ,9,12,3,0,3
Fabinho ,15,17,3,0,0
Felipe Anderson ,25,7,3,0,3
Bissouma  Yves ,11,12,3,0,1
Morrison  Sean,6,12,3,0,7
Ralls  Joe,5,15,3,1,1
Gunnarsson  Aron,10,14,3,0,0
McDonald  Kevin ,0,2,3,0,0
Digne  Lucas ,13,20,3,1,1
Ghezzal  Rachid ,6,5,3,0,0
Ayew  Jordan ,12,16,3,0,8
Mina  Yerry ,5,12,3,0,1
Gudmundsson  Johann ,3,7,2,0,1
Hendrick  Jeff ,4,6,2,0,4
Taylor  Charlie ,19,7,2,0,1
Wood  Chris,13,15,2,0,31
Mooy  Aaron,6,12,2,0,0
Smith  Tom ,1,4,2,0,0
Propper  Davy ,5,16,2,0,0
Bruno ,2,3,2,0,2
Ake  Nathan ,5,12,2,0,2
Cook  Lewis ,4,10,2,0,0
Cook  Steve ,14,10,2,0,1
Daniels  Charlie ,6,2,2,0,0
Surman  Andrew ,4,3,2,0,0
Lacazette  Alexandre ,22,23,2,0,13
Monreal  Nacho ,4,5,2,0,1
Wilshere  Jack ,0,0,2,0,0
Kamara  Aboubakar ,4,19,2,0,7
Luiz  David ,20,16,2,0,0
Hazard  Eden ,48,9,2,0,8
Keane  Michael ,7,13,2,0,0
Amartey  Daniel ,0,0,2,0,1
Gray  Demarai ,5,5,2,0,3
Vardy  Jamie ,7,8,2,1,23
Gomez  Joe ,2,6,2,0,0
Robertson  Andy ,8,8,2,0,1
Wijnaldum  Georginio ,15,5,2,0,2
De Bruyne  Kevin ,9,7,2,0,0
Ederson ,2,2,2,0,0
Gundogan  Ilkay ,9,8,2,0,0
Sterling  Raheem ,19,16,2,0,8
Lingard  Jesse ,14,18,2,0,6
Lukaku  Romelu ,2,4,2,0,20
Martial  Anthony ,18,8,2,0,5
Mata  Juan ,6,4,2,0,7
Sanchez  Alexis ,5,7,2,0,7
Valencia  Antonio ,0,1,2,0,0
Atsu  Christian ,16,12,2,0,4
Hoedt  Wesley ,5,5,2,0,0
Long  Shane ,13,10,2,0,8
Redmond  Nathan ,17,17,2,0,9
Ward Prowse  James ,7,8,2,0,1
Alderweireld  Toby ,1,4,2,0,1
Alli  Dele ,12,11,2,0,3
Davies  Ben ,7,7,2,0,0
Eriksen  Christian ,7,3,2,0,2
Lucas Moura ,16,5,2,0,9
Heung-min  Son ,11,6,2,0,13
Sanchez  Davinson ,6,8,2,0,0
Trippier  Kieran ,9,9,2,0,4
Vertonghen  Jan ,2,7,2,0,0
Antonio  Michail ,19,17,2,0,7
Carroll  Andy ,9,9,2,0,3
Kouyate  Cheikhou ,9,20,2,0,3
Rice  Declan ,7,6,2,0,1
Sakho  Mamadou ,4,2,2,0,0
Chalobah  Nathaniel ,3,5,2,0,0
Deulofeu  Gerard ,4,7,2,0,19
Janmaat  Daryl ,0,4,2,0,0
Kabasele  Christian ,2,9,2,0,0
Pereyra  Roberto ,13,8,2,0,2
Balogun  Leon ,2,4,2,0,1
Guaita  Vicente ,2,1,2,0,0
Dalot  Diogo ,2,6,2,0,0
Fred ,4,6,2,0,1
Pereira  Andreas ,1,2,2,0,0
Bacuna  Juninho ,5,15,2,0,0
Jimenez  Raul ,16,17,2,0,21
Armstrong  Stuart ,12,10,2,0,3
Evans  Jonny ,6,13,2,0,0
Lichtsteiner  Stephan ,7,7,2,0,1
Masina  Adam ,4,6,2,0,0
Bernardo ,12,8,2,0,0
Brooks  David ,25,8,2,0,2
Le Marchand  Maxime ,3,15,2,0,1
Vestergaard  Jannik ,2,7,2,0,0
Balbuena  Fabian ,0,7,2,0,0
Yarmolenko  Andriy ,0,0,2,0,1
Targett  Matt ,6,3,2,0,0
Bennett  Joe,13,7,2,0,0
Etheridge  Neil,2,0,2,0,0
Jahanbakhsh  Alireza ,0,3,2,0,2
Schurrle  Andre ,3,9,2,0,11
Moutinho  Joao ,15,22,2,0,0
Fredericks  Ryan ,1,3,2,0,0
Doherty  Matt ,10,13,2,0,1
Mawson  Alfie ,4,4,2,0,0
Montoya  Martin ,7,14,2,0,0
Meyer  Max ,12,6,2,0,1
Fernandez  Federico ,2,7,2,0,1
Babel  Ryan ,4,5,2,0,2
Heaton  Tom ,2,0,1,0,0
Lennon  Aaron ,6,5,1,0,0
McNeil  Dwight ,3,5,1,0,1
Ward  Stephen ,0,0,1,0,0
Zohore  Kenneth,4,1,1,0,3
Depoitre  Laurent ,7,9,1,0,7
Hadergjonaj  Florent ,9,5,1,0,2
Kachunga  Elias ,13,13,1,0,8
Lowe  Chris ,5,4,1,0,2
Pritchard  Alex ,30,10,1,0,6
Williams  Danny,0,2,1,0,0
Izquierdo  Jose ,5,3,1,0,4
Locadia  Jurgen ,5,10,1,0,11
March  Solly ,16,15,1,0,6
Ryan  Mathew ,1,1,1,0,0
Francis  Simon ,7,3,1,0,3
