,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2286,2287,96.0,2.0,USA,20000000.0,10569071.0,35586,131.0,104.0,0,11000.0,11000.0,474.0,223.0,11867,7.4,Good
4800,4801,97.0,3.0,USA,500000.0,,143,5.0,9.0,194,0.0,935.0,709.0,271.0,2350,5.4,Fair
3363,3364,95.0,0.0,USA,8000000.0,40066497.0,23671,247.0,58.0,0,548.0,389.0,363.0,360.0,1792,3.5,Bad
3206,3207,55.0,0.0,Poland,,447093.0,12591,37.0,53.0,0,,20.0,3.0,2.0,25,9.1,Excellent
3424,3425,124.0,0.0,Canada,8000000.0,,4412,31.0,20.0,520,2.0,413.0,265.0,23.0,733,7.7,Good
24,25,201.0,0.0,New Zealand,207000000.0,218051260.0,316018,2618.0,446.0,0,0.0,6000.0,919.0,84.0,7123,7.2,Good
2034,2035,95.0,1.0,USA,24000000.0,16964743.0,22844,140.0,84.0,876,126.0,2000.0,989.0,886.0,4681,5.6,Fair
3541,3542,102.0,1.0,USA,6900000.0,7993039.0,120036,408.0,152.0,10000,0.0,14000.0,1000.0,787.0,18643,7.7,Good
250,251,114.0,0.0,USA,110000000.0,155181732.0,147497,499.0,358.0,52000,62.0,12000.0,2000.0,884.0,16718,6.1,Good
1820,1821,109.0,1.0,USA,27000000.0,13248477.0,60555,174.0,167.0,0,22.0,14000.0,716.0,355.0,15790,6.2,Good
3535,3536,92.0,1.0,Hong Kong,7000000.0,,383,1.0,12.0,55,4.0,91.0,82.0,4.0,198,5.3,Fair
1637,1638,123.0,1.0,UK,30000000.0,50921738.0,192930,581.0,316.0,12000,456.0,19000.0,1000.0,286.0,20499,7.8,Good
576,577,116.0,0.0,USA,72000000.0,32616869.0,34435,346.0,109.0,886,212.0,13000.0,658.0,462.0,14780,4.5,Fair
2940,2941,97.0,5.0,USA,12000000.0,31179516.0,5928,49.0,45.0,243,4.0,1000.0,1000.0,826.0,5006,4.3,Fair
2496,2497,90.0,0.0,Canada,20000000.0,45670855.0,67978,279.0,178.0,12000,52.0,723.0,346.0,298.0,1978,5.6,Fair
856,857,44.0,4.0,USA,1400000.0,,63982,181.0,77.0,0,,847.0,440.0,72.0,1359,8.4,Excellent
1307,1308,119.0,0.0,UK,36000000.0,7000000.0,2933,70.0,32.0,328,5.0,521.0,372.0,249.0,1883,4.7,Fair
935,936,112.0,0.0,USA,50000000.0,126975169.0,287822,849.0,539.0,37000,14000.0,1000.0,560.0,417.0,3388,7.1,Good
4510,4511,91.0,0.0,USA,2600000.0,2850263.0,5061,70.0,9.0,0,38.0,584.0,399.0,117.0,1218,6.2,Good
281,282,127.0,1.0,USA,90000000.0,101643008.0,218341,498.0,175.0,0,57.0,12000.0,11000.0,3000.0,29069,6.5,Good
2012,2013,134.0,2.0,Italy,25000000.0,,5911,76.0,16.0,690,27.0,279.0,128.0,87.0,705,7.3,Good
411,412,83.0,1.0,USA,85000000.0,84303558.0,65270,100.0,107.0,863,28.0,4000.0,650.0,624.0,6081,6.2,Good
3255,3256,84.0,0.0,USA,10000000.0,,7286,75.0,129.0,0,36.0,1000.0,948.0,899.0,4686,4.6,Fair
242,243,153.0,0.0,USA,115000000.0,40911830.0,55994,454.0,152.0,0,610.0,12000.0,836.0,617.0,15046,6.0,Fair
4776,4777,84.0,2.0,USA,500000.0,,15,1.0,1.0,9,0.0,385.0,169.0,53.0,683,5.2,Fair
4698,4699,91.0,3.0,USA,750000.0,,514,1.0,8.0,158,0.0,696.0,320.0,137.0,1210,4.9,Fair
2718,2719,107.0,2.0,France,15000000.0,5023275.0,34194,199.0,172.0,0,0.0,572.0,324.0,289.0,1627,7.5,Good
1982,1983,100.0,0.0,USA,25000000.0,10114315.0,18693,187.0,70.0,0,57.0,181.0,151.0,92.0,582,6.4,Good
33,34,104.0,0.0,Canada,210000000.0,234360014.0,383427,1912.0,334.0,0,420.0,20000.0,808.0,560.0,21714,6.8,Good
581,582,93.0,1.0,USA,150000000.0,436471036.0,314630,483.0,205.0,0,80.0,692.0,309.0,48.0,1148,7.2,Good
1509,1510,,0.0,USA,23000000.0,,219,,,26,194.0,970.0,856.0,816.0,3874,7.2,Good
3987,3988,97.0,2.0,USA,3500000.0,27900000.0,39508,96.0,28.0,0,117.0,851.0,582.0,556.0,3036,7.5,Good
333,334,89.0,1.0,USA,95000000.0,50802661.0,58300,139.0,82.0,0,10.0,2000.0,919.0,442.0,3372,6.9,Good
2488,2489,104.0,1.0,USA,17000000.0,82389560.0,106820,147.0,129.0,14000,42.0,839.0,756.0,613.0,3627,6.5,Good
4446,4447,101.0,1.0,USA,1500000.0,,1547,42.0,35.0,750,37.0,501.0,418.0,56.0,1044,3.3,Bad
1868,1869,116.0,0.0,USA,33000000.0,148085755.0,561773,871.0,366.0,28000,16000.0,16000.0,601.0,198.0,17347,8.2,Excellent
228,229,109.0,0.0,USA,115000000.0,93050117.0,338087,814.0,476.0,61000,662.0,13000.0,2000.0,1000.0,17689,6.6,Good
4805,4806,97.0,1.0,UK,650000.0,,10577,64.0,46.0,0,350.0,114.0,61.0,33.0,260,6.9,Good
4906,4907,95.0,0.0,USA,250000.0,,81,1.0,4.0,47,89.0,471.0,89.0,45.0,705,6.2,Good
3593,3594,94.0,0.0,Germany,6000000.0,21005329.0,89128,258.0,96.0,0,12.0,16000.0,876.0,583.0,19341,6.4,Good
2864,2865,84.0,0.0,USA,13000000.0,8026971.0,1520,20.0,23.0,204,18.0,1000.0,851.0,744.0,3352,3.8,Bad
2199,2200,98.0,0.0,USA,20000000.0,,18481,230.0,90.0,4000,20.0,889.0,877.0,160.0,2110,5.9,Fair
1513,1514,96.0,0.0,USA,35000000.0,10139254.0,190990,915.0,274.0,23000,0.0,20000.0,1000.0,1000.0,24640,7.3,Good
2624,2625,115.0,4.0,USA,15000000.0,50003300.0,36624,132.0,27.0,0,44.0,23000.0,4000.0,902.0,29370,7.3,Good
4849,4850,97.0,2.0,USA,300000.0,,4550,58.0,131.0,0,19.0,778.0,456.0,313.0,2515,6.4,Good
