respon,predik1,predik2,predik3
11980,0,0,41.02
23123,1,4.25,127.56
29344,6,16.6,218.59
16656,10,57.86,306.64
11245,,,
140494,77,50.98,442.95
28700,4,13.53,226.63
59459,34,55.79,439.73
74111,35,43.87,115.31
103590,141,130.69,1544.24
31601,29,90.25,722.02
25158,21,77.73,2605.96
40641,36,78.53,798.39
57140,59,100.51,1476.93
13132,,,
30954,,,
45532,0,0,89.94
180038,30,16.72,374.07
14869,2,13.24,112.5
261721,146,49.94,772.77
50889,,,
7322564,2818,38.5,2097.71
26436,9,58.03,644.75
12183,1,8.07,145.2
16023,10,55.52,560.71
24692,9,29.18,204.23
13842,2,13.38,347.97
88693,42,45.1,894.51
11235,20,145.72,1143.9
28259,24,86.13,724.95
11162,2,17.4,1487.34
122899,7,4.58,689.42
20714,3,14.98,49.93
11856,0,0,16.72
19050,14,68.92,649.83
11961,4,28.91,346.97
15655,3,18.38,1770.94
23302,4,16.15,609.81
45226,34,76.4,559.55
26167,1,3.54,205.56
84474,43,47.57,512.19
27623,7,25.08,734.61
71166,,,
52141,37,66.7,919.33
16162,7,43.81,682.23
66473,9,13.15,131.47
23170,5,20.8,794.41
12849,1,7.38,420.91
63891,,,
15440,,,
18540,9,41.81,92.91
31971,8,24.03,1087.25
14790,2,13.97,237.45
34075,16,46.03,212.87
332943,357,110.19,984.96
1585577,785,51.31,1279.6
82585,11,12.82,256.34
29721,10,31.02,142.7
66049,45,67,753.42
21847,0,0,122.69
26184,15,50.34,1849.3
101484,33,28.5,566.64
24656,,,
12727,2,14.83,51.91
33626,3,7.91,94.97
22430,23,102.18,422.05
13352,15,37.91,452.4
10637,5,47.34,407.12
165121,102,59.32,1693.42
10836,1,7.46,462.24
86335,,,
21160,3,13.82,115.14
29208,4,13.68,78.65
12839,8,63.04,985.03
75058,13,14.89,131.68
51464,,,
22608,,,
14988,11,72.14,1134.5
405390,314,69.78,969.6
23330,5,20.94,251.24
11967,7,57.36,934.12
25925,31,148.32,377.97
10466,6,53.92,889.65
17118,1,5.74,40.21
17668,,,
35748,19,51.17,465.96
11290,1,8.83,150.04
11439,0,0,49.56
40949,22,51.39,1812.62
17790,2,11.23,129.13
437319,479,104.44,1841.38
27957,10,31.06,301.31
133107,30,21.6,620.53
12220,2,11.57,190.84
66072,15,22.02,726.59
13187,0,0,74.56
11663,,,
10205,2,17,339.96
49425,19,37.7,121.02
130474,130,108.69,2127.02
11218,4,36.38,809.39
23930,,,
19949,2,9.72,199.2
10542,5,47.14,1527.29
34989,1,3.04,85.17
60394,21,32.38,727.83
16169,9,42.11,781.32
14548,0,0,367.13
55006,19,33.52,155.25
11874,41,320.61,1634.34
23229,1,3.81,251.23
32873,5,14.35,367.33
15351,3,16.99,560.56
124773,137,100.91,1981.45
12016,0,0,83.89
13547,2,13.29,39.87
10130,,,
13002,0,0,60.9
17825,0,0,70.4
23006,9,41.98,242.54
39802,29,67.42,574.24
31287,7,21.47,288.37
70487,59,83.45,1497.92
35710,,,
22911,28,119.98,681.32
12127,2,16.18,194.19
22191,8,35.33,185.48
3485398,1773,51.15,2414.77
13425,5,37.76,581.57
15411,0,0,197
27134,17,61.22,273.7
22902,,,
18749,5,23.62,240.92
38901,9,27.82,1085.11
29202,16,42.82,291.69
69101,30,40.15,587.55
10950,1,8.34,650.49
18041,4,21.17,465.66
13800,0,0,221.64
33862,12,36.13,216.8
177196,112,57.16,795.08
12430,10,70.93,361.75
16565,28,163.47,525.42
41943,22,51.31,1462.29
16230,1,5.97,89.61
109592,,,
29603,40,133.72,227.32
13024,20,141.32,2649.8
12233,0,0,46.52
15128,1,6.78,74.62
58012,23,40.64,871.02
28176,1,3.38,185.69
140761,,,
41711,18,43.39,1501.93
30495,14,44.43,1450.47
23451,11,42.35,2344.56
16392,8,37.07,64.88
30159,9,23.81,129.64
31828,16,47.24,345.46
15080,5,32.6,267.33
12649,5,40.23,160.93
30533,1,3.22,80.5
18828,2,9.87,399.86
12697,1,7.67,69
41856,53,134.07,4877.06
10513,7,63.69,919.02
280015,247,85.21,3235.45
1006877,1000,95.96,1744.19
15180,6,32.78,76.49
52179,45,77.51,339.31
21951,9,32,807
38793,7,17.73,932.05
13086,5,33.58,235.04
78380,42,53.59,1195.53
20027,1,4.94,1293.95
87425,82,92.77,3239.2
39990,20,48.56,364.19
51206,6,11.57,179.38
12287,4,28.91,43.37
12822,0,0,161.69
23755,39,156.97,3268.26
11475,0,0,168.99
28653,2,5.11,178.75
14771,10,66.14,231.48
30270,4,12.91,103.28
60536,20,30.4,203.69
96357,30,30.33,448.84
11676,3,24.85,356.17
16390,2,12.01,672.35
12363,6,44.94,981.2
10433,7,44.38,190.21
19027,9,40.21,446.77
12724,1,5.29,31.75
47564,18,34.42,868.12
72820,13,15.43,225.56
429433,200,45.87,1631.98
85493,,,
14669,12,74.69,1419.06
76095,28,29.99,519.47
38195,4,10.27,87.26
79443,18,19.14,294.6
12996,1,7.6,53.2
24093,,,
38961,8,19.63,282.16
39806,17,37.19,958.15
444719,515,110.46,1389.87
10886,3,25.49,1240.65
19788,8,38.55,674.67
10362,2,18.94,161.02
26540,3,13.67,332.73
38142,43,99.97,620.71
54523,45,77.26,442.93
15392,2,12.43,372.95
37093,,,
12743,3,22.02,587.33
16444,0,0,210.79
20469,10,41.02,500.47
17199,0,0,75.72
46080,34,66.73,345.45
11804,11,83.97,1687.02
40775,29,43.69,394.74
17648,5,27.45,340.43
37819,,,
18827,15,76.69,
67153,31,47.15,1446.56
30601,6,19.87,271.52
16609,8,47.43,788.52
10453,20,170.98,393.26
24699,21,83.96,1783.14
17084,5,27.52,77.05
30544,9,25.31,275.58
15333,4,22.79,74.08
32188,11,29.57,400.56
46194,15,28.84,1357.38
15616,1,6.26,56.31
15116,,,
10486,4,28.67,394.21
41036,19,44.13,445.94
14044,0,0,522.13
15254,2,12.89,96.69
36291,10,26.92,293.41
12454,0,0,71.54
10764,,,
19821,3,14.23,37.95
23146,11,45.49,516.96
16121,4,25.4,82.54
26454,26,101.33,1555.07
17625,3,11.35,52.95
36701,8,21.77,530.57
80277,,,
16925,13,77.8,1358.47
14852,3,18.81,94.07
28870,2,6.78,88.16
10946,5,42.8,316.75
83995,28,30.95,1267.73
37319,3,7.81,106.68
31258,10,32.54,191.96
11796,6,35.72,142.9
47217,21,36.09,536.18
18666,17,89.76,1678.99
22124,3,13.92,241.28
14192,5,33.55,972.89
10444,2,18.13,90.65
19382,3,14.42,1287.84
49938,7,14.26,136.48
44962,28,60.3,488.86
14096,6,41.55,609.46
15134,,,
60167,17,26.33,599.45
14903,16,81.16,2018.97
20463,0,0,33.66
15026,9,59.12,216.78
30576,7,20.76,136.4
133850,129,84.7,687.49
26542,1,3.65,91.31
27973,,,
139426,,,
36955,18,45.89,1664.84
60569,10,16.04,293.54
37060,6,15.34,48.58
81177,12,14.53,283.39
12361,2,11.21,302.76
85351,,,
19212,1,4.52,918.22
13296,2,14.41,86.45
28227,16,66.54,1185.33
84985,24,28.4,369.24
47409,,,
38736,,,
41643,23,48.81,2047.92
89235,19,19.42,266.81
10241,1,9.4,84.64
27437,23,70.54,644.09
72644,29,42.33,458.28
304011,265,84.5,874.69
13812,1,6.99,160.76
34507,3,8.44,
21460,17,55.72,1379.97
159936,204,116.06,797.66
40153,9,21.8,213.14
16512,0,0,607.8
33497,31,96.64,2758.9
27310,8,27.92,342.06
13092,2,16.18,186.04
59718,9,15.7,111.67
76836,,,
16922,0,0,353.42
16200,0,0,1046.93
11938,5,42.44,551.69
26778,14,51.45,782.8
22754,18,77.12,2523.46
16367,5,26.46,280.44
51288,,,
12636,1,7.78,155.62
10603,1,9.13,82.15
118779,58,41.43,1201.33
12906,8,58.23,291.16
13228,1,6.85,185.08
24079,30,103.62,417.93
60569,14,23.48,134.19
14490,2,13.45,208.53
17187,0,0,57.31
32998,,,
24664,7,28.97,446.95
23163,4,17.69,154.77
19478,8,39.04,121.99
28150,2,7.31,73.07
16787,0,0,65.46
22286,10,43.89,535.49
25408,0,0,252.63
58282,38,63.38,1756.32
23478,6,26.01,212.45
16097,1,6.15,36.89
12456,,,
20390,2,7.85,368.76
23071,27,117.11,1439.97
26801,4,14.4,273.51
13289,0,0,75.52
27603,2,7.16,71.56
14837,0,0,310.48
10145,1,9.54,152.6
52376,67,123.32,2105.73
24603,6,21.44,368.05
328123,295,94.43,1933.77
78122,55,66.47,1363.32
22117,11,45.96,480.51
74991,12,13.91,303.72
22355,1,4.4,206.88
1027974,,,
50961,47,85.08,1846.45
56381,,,
53589,33,58.68,1257.09
75636,24,28.07,776.61
23696,2,8.77,319.99
47181,28,54.05,1399.48
12588,0,0,442.24
10678,0,0,173.77
18853,14,69.17,765.85
13057,1,7.2,
32983,4,10.1,111.07
24848,31,110.26,1454.74
71349,57,75.29,2541.38
137560,89,62.02,987.42
13794,1,7.08,92.08
11216,,,
39311,,,
44972,52,103.59,1577.75
24832,20,79.79,1523.92
16210,7,33.62,619.51
58441,0,0,52.25
369365,167,44.43,1290.43
70576,45,62.2,1523.3
81805,26,32.46,288.4
10742,0,0,73.23
40961,25,57.78,524.67
53367,45,71.14,491.66
14427,1,5.04,80.61
29925,29,95.34,2594.03
86284,27,29.23,1097.77
447619,507,110.14,1516.12
24124,1,3.35,951.3
13786,2,13.58,373.54
12703,4,29.08,189.01
40663,10,20.53,743.07
25058,1,3.81,228.86
12329,0,0,7.79
13441,7,51.25,995.75
66643,25,35.2,387.2
31808,13,39.57,328.75
19587,6,24.68,1205.17
37729,7,18.28,509.18
25086,,,
34128,11,30.35,140.72
29809,18,57.74,878.94
47828,13,24.9,294.92
12711,2,14.77,155.04
10891,,,
14877,4,26.1,202.31
25894,2,7.87,720.05
21282,8,36.29,185.97
14399,0,0,133.68
10507,1,8.3,190.95
27018,2,6.56,62.29
10201,26,233.58,2650.26
14088,3,22.54,405.71
31007,11,35,264.07
21756,20,84.41,485.38
20429,3,14.18,103.96
15464,3,19.15,1640.6
18659,4,21.73,217.26
11353,8,67.74,279.45
39498,17,38.14,567.54
64942,75,70.02,269.82
16849,,,
34439,14,35.52,880.44
13864,3,20.5,703.74
105511,104,98.09,1093.15
11936,11,86.07,1095.46
10378,0,0,178.57
30771,,,
12830,0,0,138.57
16116,4,24.25,181.86
72388,26,30.97,1380.76
54732,25,41.57,1486.61
61018,60,96.87,2423.47
33397,4,11.93,772.3
48735,3,5.3,758.39
16064,6,36.12,234.77
10850,2,17.88,116.21
13057,28,68.01,699.49
19833,10,45.92,225.01
13222,5,36.3,500.94
37991,4,9.95,106.93
34986,5,13.66,284.21
14143,2,14.04,667.04
15722,1,5.93,634.79
12871,0,0,
20267,2,9.52,52.35
18245,1,5.41,264.97
31499,15,45.12,339.92
12603,1,8.1,81.02
11671,1,7.01,140.18
51874,29,55.04,1195.76
13051,0,0,63.81
26777,7,25.38,264.67
11532,2,16.58,99.47
18820,2,10.32,443.73
18150,10,47.91,201.24
15244,9,53.62,208.53
38705,12,30.65,168.57
27257,2,7.17,426.57
11980,0,0,354.96
10922,0,0,339.73
16919,0,0,47.5
723959,361,48.89,1810.07
43207,18,40.12,686.47
44757,18,38.24,220.96
15520,13,79.42,2089.32
10132,,,
30087,6,19.14,494.37
59479,5,8.78,332
86905,49,56.01,1651.73
22023,0,0,9.07
20710,12,58.73,161.51
10993,0,0,168.48
62632,22,28.84,602.99
68235,52,65,342.53
108718,59,54.34,770.88
86835,36,39.77,157.99
39757,7,18.71,374.18
189126,,,
10891,16,138.7,468.1
21755,,,
29541,12,41.11,352.88
30013,25,43.02,533.46
11127,3,26.28,70.08
65452,11,13.29,305.77
29092,12,34.3,122.91
16797,2,12.85,571.65
10828,0,0,47.43
18885,0,0,9.24
23706,5,20.77,1121.64
22935,3,11.08,195.71
12450,5,39.05,851.23
23095,10,42.78,333.66
467610,393,77.69,1038.27
10033,2,19.2,499.33
10191,0,0,310.85
40318,24,56,331.36
76459,26,32.88,599.49
14196,4,26.77,260.97
40822,5,12.1,87.1
39729,8,19.48,477.21
20412,4,19.07,290.85
52721,21,38.35,1073.8
12353,,,
55551,45,77.83,875.19
70580,30,41.17,889.17
12066,0,0,351.8
12777,4,28.22,536.23
48290,4,7.86,398.76
25725,3,11.32,200.02
36930,19,48.06,1449.39
30575,,,
36793,31,78.18,950.75
40148,30,63.88,1239.22
20816,3,14.09,103.33
18609,10,52.71,326.81
32762,9,24.4,89.45
24727,1,4,187.87
31468,,,
170045,103,56.93,845.63
14917,1,6.57,341.75
22633,2,8.61,103.35
20570,8,33.94,895.24
14519,4,22.19,1647.53
12351,0,0,62.14
11643,8,59.96,936.82
10690,5,39.97,295.76
22897,,,
24437,8,29.45,261.4
20526,3,14.28,114.23
14870,11,73.71,683.46
82106,19,22.4,544.59
36322,14,36.6,1280.84
33187,26,73.4,1428.53
10170,8,58.06,137.89
10322,3,24.93,1329.57
18630,1,5.29,116.35
85427,17,19.83,423.52
10098,0,0,210.18
43548,11,24.24,152.07
72798,66,87.51,690.79
574283,480,87.16,1968.89
20958,5,24.55,122.74
27901,4,14.32,53.7
11886,8,64.75,493.73
60633,20,31.69,815.98
67460,10,15.12,411.23
18309,7,25.27,
191262,99,50.47,321.68
10967,2,17.7,1300.88
41832,,,
11249,4,35.61,80.12
24846,,,
13334,,,
33836,2,5.74,421.75
11329,1,8.29,66.33
20457,27,117.73,1874.95
110002,42,39.31,1311.2
13647,7,40.88,292
75494,87,92.99,1130.86
12408,,,
140891,78,56.11,1571.14
27630,36,123.33,887.29
18482,2,9.39,65.71
11216,3,25.97,207.79
16642,1,5.71,51.42
10380,2,19.31,241.31
87535,79,75.77,1333.23
11238,11,84.5,944.85
11272,4,28.93,108.49
17076,,,
10464,3,25.61,1724.14
13658,4,24.45,61.12
11280,2,15.59,179.32
13798,11,78.1,198.79
34598,,,
17032,12,66.79,322.81
11234,1,8.88,124.32
11488,1,8.49,84.88
11766,7,54.14,170.15
11982,0,0,74.96
86874,32,37.37,223.06
10610,0,0,103.33
18692,11,52.95,245.51
11096,5,44.87,358.97
31813,3,8.97,505.1
21096,13,62.32,551.32
30491,9,29.71,997.03
10266,1,9.52,295.04
30707,7,20.83,151.78
32016,2,6.15,64.61
219531,177,77.28,2978.69
22591,,,
17592,9,49.3,158.85
11227,7,49.15,1390.25
21977,,,
28199,12,51.82,133.87
17637,8,52.97,1483.15
15791,8,47.15,724.94
32462,25,69.26,872.72
19211,3,15.26,300.04
27925,19,64.32,744.75
10935,0,0,267.96
12023,,,
29115,19,62.77,1318.22
12959,0,0,198.88
24309,3,12.83,72.71
23756,2,8.18,102.2
11618,3,24.08,88.3
109602,68,61.46,2078.85
13584,1,6.95,62.53
21128,1,4.64,427.27
23936,4,16.02,348.5
25295,20,77.9,1336.03
96466,62,59.88,435.6
12361,1,7.29,196.79
367302,339,89.88,1304.78
47089,8,16.31,313.89
35701,9,26.22,1678.08
17233,2,11.19,151.13
35317,3,7.48,184.39
16139,3,16.65,127.65
17635,4,21.14,375.3
99567,33,33.62,223.14
33823,3,8.74,58.24
13087,12,88.53,1032.91
14997,0,0,566.68
16996,17,97.27,457.72
10415,10,92.17,645.16
13068,4,27.37,485.77
11929,0,0,209.22
10621,2,18.73,280.93
14967,2,11.48,281.32
13512,2,14.27,99.9
31933,8,25.07,316.55
11005,1,8.47,355.9
16813,1,4.97,29.8
13116,0,0,286.09
16881,0,0,44.22
17715,,,
131723,81,56.02,1627.33
32520,8,23.99,110.97
44654,40,82.84,816.02
11604,,,
19807,0,0,138.91
10040,4,35.55,177.73
11553,2,14.28,585.46
33429,,,
175795,215,118.9,3255.71
17457,5,26.63,591.24
29034,11,33.8,577.61
12476,7,49.28,288.65
19154,24,118.01,1607.83
61840,39,64.56,736.68
45048,23,49.58,581.98
14638,3,19.13,44.64
12236,1,8.34,141.75
70218,98,144.36,2264.09
49998,28,51.55,1818.82
56958,9,14.85,138.56
19661,7,30.73,122.9
19163,4,20.24,75.88
12756,1,7.92,324.52
11037,2,18.2,1264.79
34738,3,8.36,559.86
12551,0,0,21.66
13367,3,16.46,389.55
13597,1,7.24,188.13
12929,1,7.7,169.44
196637,173,88.66,1424.74
41333,17,39.25,658.05
15849,0,0,82.38
15004,4,26.21,281.76
22922,4,16.62,374.05
24850,9,35.97,623.55
182044,269,150.01,1629.43
68223,25,35.8,904.94
11708,4,30.79,153.93
13887,3,19.83,198.28
12687,11,76.68,223.06
22519,13,57.59,699.98
12403,1,7.93,71.35
48718,7,14.09,366.34
23928,19,79.5,292.91
11143,,,
11714,3,21.07,252.9
19438,8,36.83,626.09
15289,0,0,408.98
26303,6,21.17,105.84
11151,5,38.28,145.47
50686,18,32.02,327.36
16896,0,0,99.13
68183,5,7.01,68.68
48404,10,20.45,560.45
515342,281,47.61,1035.05
14544,2,12.93,303.91
34882,12,35.21,534.04
13371,3,21.53,674.75
14865,14,89.06,1278.63
15414,12,75.49,509.56
24458,0,0,151.91
11207,1,8.77,70.19
17400,2,10.77,350.03
18519,4,20.61,159.72
33574,36,100.23,860.27
57483,31,51.04,321.08
18923,4,18.23,989.2
18334,7,38.13,403.14
11389,1,8.11,592.34
14579,,,
15945,5,42.17,101.21
11768,1,8.36,83.56
28880,1,3.4,125.96
164164,129,70.63,3047.66
36118,26,75.11,2507.51
231636,159,68.91,1171.84
80071,34,38.71,230
22113,1,3.71,140.88
10152,5,45.5,282.07
103439,49,50.74,1274.62
27910,22,69.83,384.08
55076,21,34.02,933.19
17885,8,40.25,1232.52
21174,9,40.09,445.41
18548,0,0,58.37
95333,65,66.73,1565.55
207951,94,39.02,842.7
14302,1,6.72,53.73
87492,90,108.05,3530.78
14816,1,6.64,6.64
106209,45,42.78,1318.6
19530,6,30.4,91.21
465622,271,53.98,599.78
56475,3,5.1,141.06
18004,9,49.29,657.14
169759,77,46.3,
20807,19,81.83,2885.57
12195,3,24.22,750.73
17906,9,45.73,985.82
21884,7,25.5,142.09
10978,0,0,98.73
20585,3,14.91,1441.78
11432,2,17.66,105.96
96397,32,32.78,578.8
435146,515,115.59,2460.11
36426,9,24.28,607.03
19801,8,40.1,205.49
94279,33,32.59,1174.32
188082,34,18.56,737.62
61492,21,31.14,360.34
13083,,,
14514,4,24.85,105.6
104352,22,19.72,305.72
33485,,,
16433,18,99.5,2089.44
40709,20,43.66,1477.94
782248,391,47.52,646.17
13954,2,15.35,130.44
29802,4,10.05,190.95
33510,1,2.93,383.57
33997,50,135.2,816.61
28028,0,0,105.23
14049,5,31.4,583.99
27850,3,10.91,865.9
16196,9,53.34,349.65
18604,4,21.49,161.19
11538,0,0,92.04
14731,3,19.63,26.17
43467,42,91.64,3414.57
14621,3,20.3,155.67
21907,,,
30897,5,14.64,676.45
395934,356,65.42,1787.2
11451,2,15.29,68.8
27347,5,15.9,728.37
152466,154,99.59,1960.67
13038,4,30.18,286.66
24529,0,0,216.2
12224,0,0,86.34
34997,3,8.43,137.66
14467,0,0,20.39
16389,3,17.55,988.71
13145,3,18.75,393.73
17283,42,219.67,564.85
15940,4,25.08,363.7
21625,0,0,116.1
24152,4,16.17,80.84
13883,1,6.86,260.79
49366,6,12.48,166.4
14903,,,
23079,4,16.85,724.52
496938,298,60.62,2038.98
34311,36,107.36,2982.31
60738,9,15.46,893.29
91444,28,27.89,514.99
23101,12,48.58,708.53
24825,3,11.66,69.94
52315,13,21.1,160.72
19899,,,
54063,6,10.77,441.72
196278,122,59.18,1076.95
15216,,,
42523,40,85.24,2186.47
18230,9,51.02,136.06
56177,9,12.83,64.14
41042,,,
12490,13,97.93,851.22
17384,3,15.5,242.89
12235,2,15.87,103.18
98052,94,89.99,2109.96
50323,17,28.06,402.75
16322,,,
16543,7,38.78,559.59
65585,12,18.55,265.95
